"scenario_id","method","n_AB","n_covariates","population_overlap","effect_modifiers","n_success","true_value","bias","empirical_se","model_se","rmse","coverage","ess_mean","ess_median","convergence_rate","mean_time"
"S018","SigTotal",500,6,"low","none",1000,0.2,-0.0349667920516702,0.385205818331599,0.377124269126176,0.386597743785999,0.942,142.456355144857,142.075448826227,1,0.0113611927032471
"S019","Bucher",100,3,"high","one",1000,0.2,-0.0726202396134857,0.458577797708066,0.450580049070339,0.464065730425927,0.937,100,100,1,6.34510517120358e-05
"S019","EbArm",100,3,"high","one",1000,0.2,-0.0282578555753245,0.463879724394112,0.479766682950496,0.464508041595589,0.957,87.6518888301752,88.6087720480718,1,0.00767664170265196
"S019","EbEL",100,3,"high","one",1000,0.2,-0.0277058326606596,0.488053559957311,0.474088043476425,0.488595634725729,0.937,89.7926573689066,91.7081479385137,1,0.00564753031730653
"S019","EbTotal",100,3,"high","one",1000,0.2,-0.0294998520976283,0.48245209417106,0.470536975177782,0.483112310359251,0.937,91.5224143015437,92.511081349283,1,0.00423023438453675
"S019","SigTotal",100,3,"high","one",1000,0.2,-0.0294998521022753,0.482452094172154,0.4705369751777,0.483112310360626,0.937,91.5224143017115,92.511081349283,1,0.00467966651916505
"S020","Bucher",300,3,"high","one",1000,0.2,-0.0946666270401691,0.308627457515569,0.297464587105841,0.322672321248901,0.935,300,300,1,6.7441463470459e-05
"S020","EbArm",300,3,"high","one",1000,0.2,-0.0467110719249023,0.302002039091124,0.305924465333326,0.3054438583831,0.947,275.420482073353,276.59105331893,1,0.0111508677005768
"S020","EbEL",300,3,"high","one",1000,0.2,-0.0463150572639455,0.315391753562518,0.305677856665698,0.318618221052073,0.942,276.518708587317,279.229324141795,1,0.00668151044845582
"S020","EbTotal",300,3,"high","one",1000,0.2,-0.0477205844932851,0.314463340147864,0.304160381427591,0.317908098810073,0.941,280.353951348119,281.437529304207,1,0.0094370141029358
"S020","SigTotal",300,3,"high","one",1000,0.2,-0.0477205844932851,0.314463340147864,0.304160381427591,0.317908098810073,0.941,280.353951348119,281.437529304207,1,0.0087864444255829
"S021","Bucher",500,3,"high","one",1000,0.2,-0.0708479483836268,0.256120497027224,0.257361905154075,0.265615404445307,0.939,500,500,1,0.000463588714599607
"S021","EbArm",500,3,"high","one",1000,0.2,-0.0226675800786666,0.251046008760248,0.26248753760075,0.25194224259254,0.954,462.606188820185,464.598505140857,1,0.0116488146781921
"S021","EbEL",500,3,"high","one",1000,0.2,-0.021896017495111,0.262610904400137,0.262656085712188,0.263391264480988,0.949,462.411485964284,466.380890812765,1,0.00710799431800842
"S021","EbTotal",500,3,"high","one",1000,0.2,-0.022710501254148,0.261234522338057,0.26161860721607,0.262089677501321,0.949,468.698206361127,469.993768131983,1,0.0118063549995422
"S021","SigTotal",500,3,"high","one",1000,0.2,-0.0227105012526054,0.261234522338804,0.261618607216282,0.262089677501931,0.949,468.698206359431,469.993768131983,1,0.0124330852031708
"S022","Bucher",100,3,"medium","one",1000,0.2,-0.174819743801436,0.437560005102233,0.450458851343097,0.470987518019109,0.937,100,100,1,0.000108017921447754
"S022","EbArm",100,3,"medium","one",1000,0.2,-0.0683574651364876,0.521671326348789,0.541560688921146,0.525872203868636,0.956,65.2637197275427,65.202703331542,1,0.00793192839622497
"S022","EbEL",100,3,"medium","one",1000,0.2,-0.0583716288880009,0.596513731624608,0.559492910463366,0.599065981711311,0.936,55.9155190972432,56.8912128675311,1,0.00494910979270935
"S022","EbTotal",100,3,"medium","one",1000,0.2,-0.0581987861231003,0.5320114130228,0.524553014198048,0.534920747540355,0.952,69.2204530989058,69.6192964538606,1,0.00575477743148803
"S022","SigTotal",100,3,"medium","one",1000,0.2,-0.0581987861349863,0.532011413069217,0.524553014210045,0.534920747587767,0.952,69.2204530939686,69.6192964538606,1,0.00611477565765382
"S023","Bucher",300,3,"medium","one",1000,0.2,-0.148255089466672,0.30179006924487,0.296665403163265,0.336103764039767,0.912,300,300,1,9.84699726104737e-05
"S023","EbArm",300,3,"medium","one",1000,0.2,-0.0218897642676147,0.32241994203356,0.333239772469156,0.323001278916345,0.962,208.577097340139,209.810995723837,1,0.00842826867103579
"S023","EbEL",300,3,"medium","one",1000,0.2,-0.0234525112117732,0.384463685315758,0.372862889103887,0.384986406621567,0.942,147.475498447554,147.933015988867,1,0.00722473597526549
"S023","EbTotal",300,3,"medium","one",1000,0.2,-0.0206498649800227,0.33432537638452,0.330186030205989,0.334795610426794,0.951,213.515995144402,214.79099295072,1,0.00568474578857423
"S023","SigTotal",300,3,"medium","one",1000,0.2,-0.0206498649800227,0.33432537638452,0.330186030205989,0.334795610426794,0.951,213.515995144402,214.79099295072,1,0.00571840238571166
"S024","Bucher",500,3,"medium","one",1000,0.2,-0.137616611940566,0.247806935792466,0.256398613251539,0.28334643288989,0.938,500,500,1,8.54721069335938e-05
"S024","EbArm",500,3,"medium","one",1000,0.2,-0.0146992877520339,0.26684016279418,0.281137532490332,0.267111470865557,0.959,349.678477455733,350.109557122233,1,0.010466774225235
"S024","EbEL",500,3,"medium","one",1000,0.2,-0.0216443634297693,0.330885007722234,0.326883870805052,0.331427038600183,0.952,211.854495148982,208.966241270179,1,0.00961359357833865
"S024","EbTotal",500,3,"medium","one",1000,0.2,-0.01704366154316,0.269710166229974,0.279657113837122,0.270113525379294,0.951,355.629812406306,356.756012890862,1,0.00871627616882324
"S024","SigTotal",500,3,"medium","one",1000,0.2,-0.0170436615425406,0.269710166231998,0.279657113838502,0.270113525381273,0.951,355.629812400979,356.756012890862,1,0.00897135043144221
"S025","Bucher",100,3,"low","one",1000,0.2,-0.273485030936312,0.457477526434237,0.450538858781474,0.532794954603956,0.908,100,100,1,8.46536159515386e-05
"S025","EbArm",100,3,"low","one",1000,0.2,-0.0803180561599324,3.22185763526288,0.783275160496742,3.22124777771365,0.89,26.4978109261635,26.7578396864777,0.966,0.0202307763099671
"S025","EbEL",100,3,"low","one",1000,0.2,-0.0400589028749958,1.11180009284766,0.831804350723348,1.11196585501046,0.842,13.9354176509972,12.904955647256,1,0.0064272530078888
"S025","EbTotal",100,3,"low","one",1000,0.2,-0.0251724036588867,0.823339814645336,0.729277310484138,0.823312948905702,0.923,29.4752996177807,29.3896895710283,1,0.00677392458915708
"S025","SigTotal",100,3,"low","one",1000,0.2,-0.0251724036691799,0.823339814655692,0.729277310488803,0.823312948916362,0.923,29.4752996173685,29.3896895710283,1,0.00672998952865598
"S026","Bucher",300,3,"low","one",1000,0.2,-0.26300444501862,0.312673206666193,0.297510212196447,0.40845820806088,0.847,300,300,1,7.3477268218994e-05
"S026","EbArm",300,3,"low","one",1000,0.2,-0.0175156558564207,0.475807968656341,0.4627858457263,0.475892454251922,0.943,85.3585456997146,85.6228050519284,1,0.00936457705497742
"S026","EbEL",300,3,"low","one",1000,0.2,-0.0767101344252587,0.85434270809921,0.648437962613844,0.857354072797786,0.858,22.2673717199566,20.6422351458964,1,0.00740863966941832
"S026","EbTotal",300,3,"low","one",1000,0.2,-0.0336648282236896,0.498257017563735,0.451996293481071,0.499144384076679,0.933,86.8387942097633,86.7498418815319,1,0.00852343535423278
"S026","SigTotal",300,3,"low","one",1000,0.2,-0.0336648282236896,0.498257017563735,0.451996293481071,0.499144384076679,0.933,86.8387942097633,86.7498418815319,1,0.00768856644630432
"S027","Bucher",500,3,"low","one",1000,0.2,-0.275750940863714,0.258766474957314,0.257468317888632,0.378063103013896,0.806,500,500,1,0.000118812799453735
"S027","EbArm",500,3,"low","one",1000,0.2,-0.0317459105167743,0.35900158206439,0.375308708913536,0.360223620301819,0.972,142.526777610362,141.821804286507,1,0.0104739124774933
