"scenario_id","n_AB","n_covariates","population_overlap","effect_modifiers","method","bias","rmse","coverage","ess_mean","convergence_rate"
"S014",300,6,"medium","none","EbTotal",-0.0262314744505495,0.336596360015444,0.945,209.678344577964,1
"S014",300,6,"medium","none","SigTotal",-0.0262314744505495,0.336596360015444,0.945,209.678344577964,1
"S015",500,6,"medium","none","Bucher",-0.0187118519668904,0.257798280494252,0.942,500,1
"S015",500,6,"medium","none","EbArm",-0.0199667486766958,0.261402589342138,0.966,341.56517943687,1
"S015",500,6,"medium","none","EbEL",-0.0236938506976783,0.338942886073067,0.937,230.034480541518,1
"S015",500,6,"medium","none","EbTotal",-0.0234939762822667,0.282292514229827,0.946,351.747119617348,1
"S015",500,6,"medium","none","SigTotal",-0.0234939762748955,0.282292514234389,0.946,351.74711963111,1
"S016",100,6,"low","none","Bucher",0.00732440958543246,0.4444277440634,0.956,100,1
"S016",100,6,"low","none","EbArm",-0.173728031489438,8.61571229823381,0.776,21.6339575669065,0.824
"S016",100,6,"low","none","EbEL",-0.0589405158881094,1.11319728261664,0.859,16.0870663569799,1
"S016",100,6,"low","none","EbTotal",-0.0289823867612658,0.844610438157398,0.914,28.3009617208692,1
"S016",100,6,"low","none","SigTotal",-0.0289823867811692,0.844610438048315,0.914,28.3009617222437,1
"S017",300,6,"low","none","Bucher",-0.0227882095474617,0.307646952801042,0.942,300,1
"S017",300,6,"low","none","EbArm",-0.0288714854058205,0.46539012855896,0.958,82.9137254599085,1
"S017",300,6,"low","none","EbEL",-0.0330118062295877,0.779743497059184,0.869,29.7426800460805,1
"S017",300,6,"low","none","EbTotal",-0.0296392883714401,0.487405949521543,0.935,86.2583964288228,1
"S017",300,6,"low","none","SigTotal",-0.0296392883714401,0.487405949521543,0.935,86.2583964288228,1
"S018",500,6,"low","none","Bucher",-0.0233843933408163,0.255948592562082,0.954,500,1
"S018",500,6,"low","none","EbArm",-0.0351601327529186,0.37512945537926,0.95,139.778952882255,1
"S018",500,6,"low","none","EbEL",-0.00491451473048626,0.680879342806745,0.906,36.1588462872097,1
"S018",500,6,"low","none","EbTotal",-0.0349667920537751,0.386597743801636,0.942,142.456355142456,1
"S018",500,6,"low","none","SigTotal",-0.0349667920516702,0.386597743785999,0.942,142.456355144857,1
"S019",100,3,"high","one","Bucher",-0.0726202396134857,0.464065730425927,0.937,100,1
"S019",100,3,"high","one","EbArm",-0.0282578555753245,0.464508041595589,0.957,87.6518888301752,1
"S019",100,3,"high","one","EbEL",-0.0277058326606596,0.488595634725729,0.937,89.7926573689066,1
"S019",100,3,"high","one","EbTotal",-0.0294998520976283,0.483112310359251,0.937,91.5224143015437,1
"S019",100,3,"high","one","SigTotal",-0.0294998521022753,0.483112310360626,0.937,91.5224143017115,1
"S020",300,3,"high","one","Bucher",-0.0946666270401691,0.322672321248901,0.935,300,1
"S020",300,3,"high","one","EbArm",-0.0467110719249023,0.3054438583831,0.947,275.420482073353,1
"S020",300,3,"high","one","EbEL",-0.0463150572639455,0.318618221052073,0.942,276.518708587317,1
"S020",300,3,"high","one","EbTotal",-0.0477205844932851,0.317908098810073,0.941,280.353951348119,1
"S020",300,3,"high","one","SigTotal",-0.0477205844932851,0.317908098810073,0.941,280.353951348119,1
